S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,791727,4862,796589,62.84,Gujarat,Chhota Udaipur,21
2,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,394433,3379,397812,31.38,Gujarat,Chhota Udaipur,21
3,BHIL SOMABHAI GOKALBHAI,Bahujan Samaj Party,16021,72,16093,1.27,Gujarat,Chhota Udaipur,21
4,RATHVA FURAKANBHAI BALJIBHAI,Malwa Congress,11091,70,11161,0.88,Gujarat,Chhota Udaipur,21
5,TADVI RANCHHODBHAI,Bharatiya Bahujan Congress,8292,52,8344,0.66,Gujarat,Chhota Udaipur,21
6,RATHVA MUKESHBHAI NURABHAI,Independent,8032,33,8065,0.64,Gujarat,Chhota Udaipur,21
7,NOTA,None of the Above,29394,261,29655,2.34,Gujarat,Chhota Udaipur,21
