S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER
2,GOVINDRAM MEGHWAL,Indian National Congress,506966,4060,511026,45.7,Rajasthan,BIKANER
3,KHETA RAM,Bahujan Samaj Party,8249,50,8299,0.74,Rajasthan,BIKANER
4,ATMA RAM GUJARATI,Independent,6267,14,6281,0.56,Rajasthan,BIKANER
5,RATANI DEVI,Independent,3894,32,3926,0.35,Rajasthan,BIKANER
6,SATYANARAYAN DEVRA,Independent,2958,8,2966,0.27,Rajasthan,BIKANER
7,PUKHRAJ NAYAK,Independent,2621,54,2675,0.24,Rajasthan,BIKANER
8,BABU LAL,Independent,2010,9,2019,0.18,Rajasthan,BIKANER
9,GOPI CHAND MEGHWAL,Independent,1787,8,1795,0.16,Rajasthan,BIKANER
10,NOTA,None of the Above,12431,127,12558,1.12,Rajasthan,BIKANER
