S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54.0,Andhra Pradesh,Eluru,10
2,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84,Andhra Pradesh,Eluru,10
3,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51,Andhra Pradesh,Eluru,10
4,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88,Andhra Pradesh,Eluru,10
5,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49,Andhra Pradesh,Eluru,10
6,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16,Andhra Pradesh,Eluru,10
7,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11,Andhra Pradesh,Eluru,10
8,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09,Andhra Pradesh,Eluru,10
9,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07,Andhra Pradesh,Eluru,10
10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06,Andhra Pradesh,Eluru,10
11,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05,Andhra Pradesh,Eluru,10
12,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05,Andhra Pradesh,Eluru,10
13,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05,Andhra Pradesh,Eluru,10
14,NOTA,None of the Above,22371,144,22515,1.63,Andhra Pradesh,Eluru,10
