S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,MAHUA MOITRA,All India Trinamool Congress,624711,4078,628789,44.1,West Bengal,Krishnanagar,12
2,AMRITA ROY,Bharatiya Janata Party,567628,4456,572084,40.13,West Bengal,Krishnanagar,12
3,S.M. SADI,Communist Party of India  (Marxist),179063,1138,180201,12.64,West Bengal,Krishnanagar,12
4,SANJIT BISWAS,Independent,8660,11,8671,0.61,West Bengal,Krishnanagar,12
5,SOURAV HELA,Independent,5061,4,5065,0.36,West Bengal,Krishnanagar,12
6,NEMAI BISWAS,Independent,5047,22,5069,0.36,West Bengal,Krishnanagar,12
7,AMAL CHANDRA SARKAR,Bahujan Samaj Party,5045,55,5100,0.36,West Bengal,Krishnanagar,12
8,AFROJA KHATUN MONDAL,All India Secular Front,4284,14,4298,0.3,West Bengal,Krishnanagar,12
9,ISMAT ARA MONDAL,Socialist Unity Centre Of India (COMMUNIST),3603,19,3622,0.25,West Bengal,Krishnanagar,12
10,MD. MUKTAR SHAIKH,Independent,3287,7,3294,0.23,West Bengal,Krishnanagar,12
11,ALIK KUMAR KUNDU,Independent,2699,9,2708,0.19,West Bengal,Krishnanagar,12
12,NOTA,None of the Above,6754,57,6811,0.48,West Bengal,Krishnanagar,12
