S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95,West Bengal,Dum dum
2,SILBHADRA DATTA,Bharatiya Janata Party,456138,1781,457919,36.34,West Bengal,Dum dum
3,SUJAN CHAKRABORTY,Communist Party of India  (Marxist),239418,1366,240784,19.11,West Bengal,Dum dum
4,SHEKH IMANUR RAHMAN,Independent,6410,1,6411,0.51,West Bengal,Dum dum
5,SWAMINATH KORI,Bahujan Samaj Party,3749,17,3766,0.3,West Bengal,Dum dum
6,HIRAK SINHA,Independent,3144,3,3147,0.25,West Bengal,Dum dum
7,BANAMALI PANDA,Socialist Unity Centre Of India (COMMUNIST),1728,11,1739,0.14,West Bengal,Dum dum
8,DULU DEY,Independent,1688,6,1694,0.13,West Bengal,Dum dum
9,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,1231,6,1237,0.1,West Bengal,Dum dum
10,SANTANU MANDAL,Democratic Socialist Party of India,880,5,885,0.07,West Bengal,Dum dum
11,TRIDIB BHUNIA,Independent,765,7,772,0.06,West Bengal,Dum dum
12,GOURI BISWAS,Independent,698,3,701,0.06,West Bengal,Dum dum
13,SUBRATA BHOWMIK,Mera Bharat Mahan Party,602,2,604,0.05,West Bengal,Dum dum
14,HARI PADA BISWAS,Mulnibasi Party of India,465,9,474,0.04,West Bengal,Dum dum
15,NOTA,None of the Above,11256,78,11334,0.9,West Bengal,Dum dum
