S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,PATEL UMESHBHAI BABUBHAI,Independent,42469,54,42523,46.02,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36243,55,36298,39.28,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
3,KETAN DAHYABHAI PATEL,Indian National Congress,11237,21,11258,12.18,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
4,UMESH PATEL,Navsarjan Bharat Party,545,-,545,0.59,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
5,SAKIL LATIF KHAN,Independent,323,-,323,0.35,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
6,IDRISH G MULLA,Independent,247,-,247,0.27,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
7,PATEL UMESHBHAI BABU,Independent,238,-,238,0.26,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
8,NOTA,None of the Above,977,1,978,1.06,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
