S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,659278,2703,661981,61.28,Telangana,Hyderabad
2,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,320481,3413,323894,29.98,Telangana,Hyderabad
3,MOHAMMED WALIULLAH SAMEER,Indian National Congress,62497,465,62962,5.83,Telangana,Hyderabad
4,SRINIVAS YADAV GADDAM,Bharat Rashtra Samithi,18498,143,18641,1.73,Telangana,Hyderabad
5,MEKALA RAGHUMA REDDY,Yuga Thulasi Party,2231,1,2232,0.21,Telangana,Hyderabad
6,DR.J.PADMAJA,Viduthalai Chiruthaigal Katchi,899,1,900,0.08,Telangana,Hyderabad
7,K.S.KRISHNA,Bahujan Samaj Party,763,6,769,0.07,Telangana,Hyderabad
8,RAMESH KUMAR MATANGI,Sakala Janula Party,663,-,663,0.06,Telangana,Hyderabad
9,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,561,1,562,0.05,Telangana,Hyderabad
10,M.JOHNSON,All India Mahila Empowerment Party,515,-,515,0.05,Telangana,Hyderabad
11,JAMEEL SAYED,Alliance of Democratic Reforms Party,492,-,492,0.05,Telangana,Hyderabad
12,ASHOK KUMAR MAMBA,Maa Telangana Party,422,1,423,0.04,Telangana,Hyderabad
13,DR.LUBNA SARWATH,Vidhyarthula Rajakiya Party,410,1,411,0.04,Telangana,Hyderabad
14,SARAF TULASI GUPTA,Praja Ektha Party,281,-,281,0.03,Telangana,Hyderabad
15,V.SHANKER,Yuva Taram Party,275,1,276,0.03,Telangana,Hyderabad
16,GADDAM HARISH GOUD,Dharma Samaj Party,269,2,271,0.03,Telangana,Hyderabad
17,SYED ANWAR,Independent,251,-,251,0.02,Telangana,Hyderabad
18,KHAJA MOINUDDIN,All India Majlis-E-Inquilab-E-Millat,233,1,234,0.02,Telangana,Hyderabad
19,AMJAD KHAN,Independent,195,1,196,0.02,Telangana,Hyderabad
20,AMBI HANUMANTH RAO,Socialist Party (India),161,1,162,0.01,Telangana,Hyderabad
21,SHAIK BASHA,Dalita Bahujana Party,153,-,153,0.01,Telangana,Hyderabad
22,M.K.AHMED,Independent,149,-,149,0.01,Telangana,Hyderabad
23,SALVERU RAMESH,Indian Praja Congress,141,-,141,0.01,Telangana,Hyderabad
24,L.ASHOKNATH,Telangana Prajaa Jeevana Rythu Party,141,-,141,0.01,Telangana,Hyderabad
25,J.SHYAMSUNDER RAO,Independent,138,-,138,0.01,Telangana,Hyderabad
26,ANDE USHA KANNA,Bahujan Mukti Party,133,-,133,0.01,Telangana,Hyderabad
27,SATTI SHABABU REDDY,Independent,123,-,123,0.01,Telangana,Hyderabad
28,ANIL SEN,Independent,111,-,111,0.01,Telangana,Hyderabad
29,CHAITANYA KUMAR REDDY PELLAKURU,Independent,110,-,110,0.01,Telangana,Hyderabad
30,SILIVERU NARESH,Telangana Jaghir Party,103,-,103,0.01,Telangana,Hyderabad
31,NOTA,None of the Above,2867,39,2906,0.27,Telangana,Hyderabad
