S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22,Bihar,Maharajganj
2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09,Bihar,Maharajganj
3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46,Bihar,Maharajganj
4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32,Bihar,Maharajganj
5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77,Bihar,Maharajganj
6,NOTA,None of the Above,21662,25,21687,2.14,Bihar,Maharajganj
