State,Constituency Name,Candidate,Party,Winning Margin
Andhra Pradesh,Visakhapatnam,JANARDHAN PONNADA.,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,VADDI. HARI GANESH,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,G.A.N. ANAND,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,PIDIDHI APPARAO,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,-504247.0
Madhya Pradesh,BHOPAL,BHANU PRATAP SINGH,Bahujan Samaj Party,-501499.0
Madhya Pradesh,BHOPAL,NOTA,None of the Above,-501499.0
Madhya Pradesh,BHOPAL,DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,-501499.0
Madhya Pradesh,BHOPAL,JAY SINGH,Independent,-501499.0
Madhya Pradesh,BHOPAL,MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST),-501499.0
Madhya Pradesh,BHOPAL,R.K. MAHAJAN,Independent,-501499.0
Madhya Pradesh,BHOPAL,ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,-501499.0
Madhya Pradesh,BHOPAL,MAITHILI SHARAN GUPTA,Independent,-501499.0
Madhya Pradesh,BHOPAL,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,-501499.0
Madhya Pradesh,BHOPAL,BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party,-501499.0
Madhya Pradesh,BHOPAL,AKSHAY GOTHI,Parivartan Party of India,-501499.0
Madhya Pradesh,BHOPAL,HITENDRA SHAHARE (BABA),Independent,-501499.0
Madhya Pradesh,BHOPAL,BHARTI YADAV,Independent,-501499.0
Madhya Pradesh,BHOPAL,ANKIT RAI,Independent,-501499.0
Madhya Pradesh,BHOPAL,DHANRAJ SHENDE,Republican Party of India (A),-501499.0
Madhya Pradesh,BHOPAL,AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party,-501499.0
Madhya Pradesh,BHOPAL,MOHAMMAD ASHRAF,Independent,-501499.0
Madhya Pradesh,BHOPAL,RAMPRASAD PATEL,Kranti Janshakti Party,-501499.0
Madhya Pradesh,BHOPAL,ALOK SHARMA,Bharatiya Janata Party,-501499.0
Madhya Pradesh,BHOPAL,SANJAY KUMAR SAROJ,Manav Samadhan Party,-501499.0
Madhya Pradesh,BHOPAL,BABULAL SEN,Moulik Adhikar Party,-501499.0
Madhya Pradesh,BHOPAL,RAJESH KEER,Independent,-501499.0
Madhya Pradesh,BHOPAL,MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party,-501499.0
Madhya Pradesh,MANDSOUR,KANHAIYALAL MALVIYA,Bahujan Samaj Party,-500655.0
Madhya Pradesh,MANDSOUR,MURALIDHAR,Independent,-500655.0
Madhya Pradesh,MANDSOUR,SAEED AHAMAD,Independent,-500655.0
Madhya Pradesh,MANDSOUR,SUSHIL,Independent,-500655.0
Madhya Pradesh,MANDSOUR,ISMAIL KHAN MAIV,Independent,-500655.0
Madhya Pradesh,MANDSOUR,SUDHEER GUPTA,Bharatiya Janata Party,-500655.0
Madhya Pradesh,MANDSOUR,NOTA,None of the Above,-500655.0
