S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,E. TUKARAM,Indian National Congress,729581,1264,730845,52.58,Karnataka,Bellary,9
2,B. SREERAMULU,Bharatiya Janata Party,629813,2040,631853,45.46,Karnataka,Bellary,9
3,VALMIKI KRISHNAPPA,Bahujan Samaj Party,5901,10,5911,0.43,Karnataka,Bellary,9
4,C. CHANNAVEERA,Karnataka Rashtra Samithi,3794,3,3797,0.27,Karnataka,Bellary,9
5,CONDUCTOR PAMPAPATHI,Independent,2458,2,2460,0.18,Karnataka,Bellary,9
6,VEERESH,Independent,1862,8,1870,0.13,Karnataka,Bellary,9
7,A. DEVADAS,Socialist Unity Centre Of India (COMMUNIST),1739,2,1741,0.13,Karnataka,Bellary,9
8,MANJUNATHA GOSAL,Prahar Janshakti Party,1319,3,1322,0.1,Karnataka,Bellary,9
9,ARUN.S.HIREHAL,Independent,1281,1,1282,0.09,Karnataka,Bellary,9
10,G. SWAMY,Navabharath Sena,940,4,944,0.07,Karnataka,Bellary,9
11,NOTA,None of the Above,7871,18,7889,0.57,Karnataka,Bellary,9
