S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,455949,6654,462603,53.66,Uttarakhand,Tehri Garhwal,1
2,JOT SINGH GUNSOLA,Indian National Congress,187602,2508,190110,22.05,Uttarakhand,Tehri Garhwal,1
3,BOBY PANWAR,Independent,162469,5612,168081,19.5,Uttarakhand,Tehri Garhwal,1
4,NAVNEET SINGH GOSAIN,Rashtriya Uttarakhand Party,9969,57,10026,1.16,Uttarakhand,Tehri Garhwal,1
5,NEMCHAND,Bahujan Samaj Party,6786,122,6908,0.8,Uttarakhand,Tehri Garhwal,1
6,BRIJ BHUSHAN KARANWAL,Bhartiya Rashtriya Ekta Dal,3545,25,3570,0.41,Uttarakhand,Tehri Garhwal,1
7,SARDAR KHAN PAPPU,Independent,3268,7,3275,0.38,Uttarakhand,Tehri Garhwal,1
8,VEPIN KUMAR AGGARWAL,Independent,3173,43,3216,0.37,Uttarakhand,Tehri Garhwal,1
9,RAMPAL SINGH,Peoples Party of India (Democratic),2343,19,2362,0.27,Uttarakhand,Tehri Garhwal,1
10,SUDESH TOMAR,Independent,2261,7,2268,0.26,Uttarakhand,Tehri Garhwal,1
11,PREM DUTT SEMWAL,Independent,2134,30,2164,0.25,Uttarakhand,Tehri Garhwal,1
12,NOTA,None of the Above,7304,154,7458,0.87,Uttarakhand,Tehri Garhwal,1
