S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50.0,Uttar Pradesh,Jhansi,46
2,"PRADEEP JAIN ""ADITYA""",Indian National Congress,587000,702,587702,42.57,Uttar Pradesh,Jhansi,46
3,RAVI PRAKASH,Bahujan Samaj Party,63106,86,63192,4.58,Uttar Pradesh,Jhansi,46
4,LAKHAN LAL,Independent,6832,-,6832,0.49,Uttar Pradesh,Jhansi,46
5,RAMESH,Independent,6330,8,6338,0.46,Uttar Pradesh,Jhansi,46
6,GANESH RAM,Independent,2574,1,2575,0.19,Uttar Pradesh,Jhansi,46
7,CHANDAN SINGH,Apna Dal (Kamerawadi),2487,4,2491,0.18,Uttar Pradesh,Jhansi,46
8,DHARMENDRA PRATAP,Independent,2299,4,2303,0.17,Uttar Pradesh,Jhansi,46
9,INDRA SINGH,Independent,2076,2,2078,0.15,Uttar Pradesh,Jhansi,46
10,ER. DEEPAK KUMAR VERMA,Al-Hind Party,1375,2,1377,0.1,Uttar Pradesh,Jhansi,46
11,NOTA,None of the Above,15290,12,15302,1.11,Uttar Pradesh,Jhansi,46
