S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,JITENDRA KUMAR DOHARE,Samajwadi Party,489358,1389,490747,47.47,Uttar Pradesh,Etawah,41
2,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,430922,1406,432328,41.82,Uttar Pradesh,Etawah,41
3,SARIKA SINGH BAGHEL,Bahujan Samaj Party,96253,288,96541,9.34,Uttar Pradesh,Etawah,41
4,SUNIL SHANKWAR ADVOCATE,Independent,2954,9,2963,0.29,Uttar Pradesh,Etawah,41
5,MULAYAM SINGH,Independent,1688,20,1708,0.17,Uttar Pradesh,Etawah,41
6,BHUVNESH KUMARI,Samyak Party,1648,9,1657,0.16,Uttar Pradesh,Etawah,41
7,VIVEK RAJ,Janta Samajwadi Party (Vivek Raj),1569,5,1574,0.15,Uttar Pradesh,Etawah,41
8,NOTA,None of the Above,6229,37,6266,0.61,Uttar Pradesh,Etawah,41
