S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Uttar Pradesh,Rae Bareli
2,DINESH PRATAP SINGH,Bharatiya Janata Party,296703,916,297619,28.64,Uttar Pradesh,Rae Bareli
3,THAKUR PRASAD YADAV,Bahujan Samaj Party,21588,36,21624,2.08,Uttar Pradesh,Rae Bareli
4,DILEEP SINGH,Akhil Bhartiya Apna Dal,8676,2,8678,0.84,Uttar Pradesh,Rae Bareli
5,HORILAL,Independent,5397,2,5399,0.52,Uttar Pradesh,Rae Bareli
6,SUDARSHAN RAM,Bhartiya Panchsheel Party,4343,2,4345,0.42,Uttar Pradesh,Rae Bareli
7,HIND ROHITASH,Manavtawadi Samaj Party,3859,-,3859,0.37,Uttar Pradesh,Rae Bareli
8,MO MOBIN,Apna Dal (Kamerawadi),2173,1,2174,0.21,Uttar Pradesh,Rae Bareli
9,NOTA,None of the Above,7861,11,7872,0.76,Uttar Pradesh,Rae Bareli
