S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Uttar Pradesh,Rampur,7
2,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,393154,915,394069,40.71,Uttar Pradesh,Rampur,7
3,ZEESHAN KHAN,Bahujan Samaj Party,79561,131,79692,8.23,Uttar Pradesh,Rampur,7
4,ARSHAD WARSI,Minorities Democratic Party,2919,8,2927,0.3,Uttar Pradesh,Rampur,7
5,MEHMOOD PRACHA,Independent,2750,9,2759,0.28,Uttar Pradesh,Rampur,7
6,SHIV PRASAD,Independent,1465,11,1476,0.15,Uttar Pradesh,Rampur,7
7,NOTA,None of the Above,5643,10,5653,0.58,Uttar Pradesh,Rampur,7
